,,,,,,
,,,,,,
,Tabla N°:,1.1 ,,,,
,Nombre de la tabla:,"Población por sexo al nacer, según provincia, cantón y área de residencia",,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,
,,,,,,
,,,,,,
Índice,"Provincia, cantón y área de residencia",,,Número total de personas ,Sexo al nacer,
,,,,,Hombres,Mujeres
,,,,,,
,Loja,Macará,Urbana,"12,454","5,955","6,499"
,Loja,Macará,Rural,"5,761","3,009","2,752"
,Loja,Paltas,Total Paltas,"22,841","11,310","11,531"
,Loja,Paltas,Urbana,"7,831","3,711","4,120"
,Loja,Paltas,Rural,"15,010","7,599","7,411"
,Loja,Puyango,Total Puyango,"16,257","8,034","8,223"
,Loja,Puyango,Urbana,"5,981","2,810","3,171"
,Loja,Puyango,Rural,"10,276","5,224","5,052"
,Loja,Saraguro,Total Saraguro,"29,111","13,631","15,480"
,Loja,Saraguro,Urbana,"4,656","2,160","2,496"
,Loja,Saraguro,Rural,"24,455","11,471","12,984"
,Loja,Sozoranga,Total Sozoranga,"6,970","3,502","3,468"
,Loja,Sozoranga,Urbana,908,445,463
